factory_name,linkedServiceName,type,server,database,integrationRuntimeRef,subscription_name,table_count,pipeline_count_referencing
ADF-kmati,AzureSqlDatabase1,AzureSqlDatabase,pocserverkmati.database.windows.net,pocdatabasekmati,AutoResolveIntegrationRuntime,field-eng,1,0
ADF-kmati,AzureSqlDatabase2,AzureSqlDatabase,pocserverkmati.database.windows.net,pocdatabasekmati,AutoResolveIntegrationRuntime,field-eng,1,0
scott-black-data-factory,AzureMySql1,AzureMySql,scottblackmysql.mysql.database.azure.com,sakila,AutoResolveIntegrationRuntime,field-eng,0,0
scott-black-data-factory,AzureSqlDatabase1,AzureSqlDatabase,mainedb.database.windows.net,maine,AutoResolveIntegrationRuntime,field-eng,3,0
laf-adf,AzureSqlDatabase1,AzureSqlDatabase,lfurlongsqlserver.database.windows.net,AdventureWorksDW2019,AutoResolveIntegrationRuntime,field-eng,0,0
laf-adf,AzureSqlDatabase2,AzureSqlDatabase,turbinemaintenance.database.windows.net,fleetmaintenance,AutoResolveIntegrationRuntime,field-eng,1,0
laf-adf,AzureSqlDatabase3,AzureSqlDatabase,lfurlongsqlserver.database.windows.net,AdventureWorksOLTP,AutoResolveIntegrationRuntime,field-eng,2,0
laf-adf,AzureSqlDatabase4,AzureSqlDatabase,lfurlongsqlserver.database.windows.net,ADFControl,AutoResolveIntegrationRuntime,field-eng,1,0
laf-adf,SQLMaintenanceDemo,AzureSqlDatabase,turbinemaintenance.database.windows.net,fleetmaintenance,AutoResolveIntegrationRuntime,field-eng,4,0
laf-adf,SqlServerConfig,SqlServer,@{linkedService().SqlServerName},@{linkedService().DBName},AutoResolveIntegrationRuntime,field-eng,1,0
laf-adf,SqlServerGeneric,SqlServer,@{linkedService().ServerName},@{linkedService().DBName},AutoResolveIntegrationRuntime,field-eng,1,0
laf-adf,linkedService_adf,AzureSqlDatabase,lfurlongsqlserver.database.windows.net,adf_schema,AutoResolveIntegrationRuntime,field-eng,1,0
laf-adf,linkedService_SourceSystem,AzureSqlDatabase,lfurlongsqlserver.database.windows.net,AdventureWorksOLTP,AutoResolveIntegrationRuntime,field-eng,0,0
abdi-test-adf,sql_server,SqlServer,demo,demo,AutoResolveIntegrationRuntime,field-eng,0,0
nshetty-test,azure_sql_nithya_demo_db,AzureSqlDatabase,nithya-demo-server.database.windows.net,nithya-demo-db,nshetty-performance-ir,field-eng,1,0
Jyo-1204-ADF-snowflake,Snowflake1,Snowflake,,,AutoResolveIntegrationRuntime,field-eng,1,0
Jyo-1204-ADF-snowflake,Snowflake_jyo_db,Snowflake,,,AutoResolveIntegrationRuntime,field-eng,2,0
Jyo-1204-ADF-snowflake,Snowflake_dynamic_db,Snowflake,,,AutoResolveIntegrationRuntime,field-eng,1,0
craig-test-adf,AzureSynapseAnalytics1,AzureSqlDW,oneenvsynapse.sql.azuresynapse.net,tfayyazdemo,AutoResolveIntegrationRuntime,field-eng,0,0
guanjie-adf,AzureSqlDatabase1,AzureSqlDatabase,guanjie.database.windows.net,guanjie_db,AutoResolveIntegrationRuntime,field-eng,0,0
guanjie-adf,guanjie_guanjie_db,SqlServer,guanjie.database.windows.net,guanjie_db,AutoResolveIntegrationRuntime,field-eng,0,0
guanjie-adf,guanjie_db,AzureSqlDatabase,guanjie.database.windows.net,guanjie_db,AutoResolveIntegrationRuntime,field-eng,0,0
kishoremannavaadffe,AzureSqlDatabase1,AzureSqlDatabase,mannava.database.windows.net,kishorem,AutoResolveIntegrationRuntime,field-eng,0,0
adf-otis-cosmosdb,CosmosDbNoSqlOTIS,CosmosDb,,salesdb,AutoResolveIntegrationRuntime,field-eng,0,0
rrcadfvivo,RRCSQLServer,AzureSqlDatabase,rrcsqlserver.database.windows.net,rrcdb,AutoResolveIntegrationRuntime,field-eng,1,0
ag-adf,AzureSqlDatabase1,AzureSqlDatabase,agtest123.database.windows.net,agtest,AutoResolveIntegrationRuntime,field-eng,0,0
adf-fe-uae-01,AzureSqlDatabase1,AzureSqlDatabase,sql-fe-uae-01.database.windows.net,sqldb-fe-uae-01,AutoResolveIntegrationRuntime,field-eng,1,0
oneenv-adf,SQLMaintenanceDemo,AzureSqlDatabase,turbinemaintenance.database.windows.net,fleetmaintenance,AutoResolveIntegrationRuntime,field-eng,2,0
oneenv-adf,AzureSqlDatabase1,AzureSqlDatabase,oneenvsql.database.windows.net,oneenvsqldb,AutoResolveIntegrationRuntime,field-eng,0,0
oneenv-adf,oneenvsqldb,AzureSqlDatabase,oneenvsql.database.windows.net,oneenvsqldb,AutoResolveIntegrationRuntime,field-eng,1,0
oneenv-adf,oneenvsqldb_jim,SqlServer,oneenvsql.database.windows.net,oneenvsqldb,AutoResolveIntegrationRuntime,field-eng,0,0
adf-sash-demo,AzureSqlDatabase1,AzureSqlDatabase,nayeemdemosqldbserver01.database.windows.net,nayeemdemosqldb01,AutoResolveIntegrationRuntime,field-eng,2,0
stuart-adf,stuartadfsqldb,AzureSqlDatabase,stuartsqldb.database.windows.net,master,AutoResolveIntegrationRuntime,field-eng,0,0
stuart-adf,stuartADFSQL,SqlServer,localhost,adftutorial,stuartADFSQLlink,field-eng,2,0
adf-runs,IsvTeamMySql,AzureMySql,isvmysql.mysql.database.azure.com,adventureworks,AutoResolveIntegrationRuntime,azure-test-pm,1,0
adf-runs,SqlServer1,SqlServer,ec2-18-159-45-229.eu-central-1.compute.amazonaws.com,cuj,AutoResolveIntegrationRuntime,azure-test-pm,1,0
rayzhu-sf,AzureSqlDatabase1,AzureSqlDatabase,ray-cdc-sqlserver.database.windows.net,ray-cdc-db,AutoResolveIntegrationRuntime,azure-test-pm,1,0
rayzhu-sf,AzureSqlDatabase2,AzureSqlDatabase,ray-cdc-sqlserver.database.windows.net,master,AutoResolveIntegrationRuntime,azure-test-pm,0,0
rayzhu-sf,AzureSqlDatabase3,AzureSqlDatabase,ray-cdc-sqlserver.database.windows.net,ray-cdc-db,AutoResolveIntegrationRuntime,azure-test-pm,0,0
rayzhu-sf,sourcesqlserver,AzureSqlDatabase,ray-cdc-sqlserver.database.windows.net,ray-cdc-db,AutoResolveIntegrationRuntime,azure-test-pm,0,0
rayzhu-sf,sinksqlserver,AzureSqlDatabase,ray-cdc-sqlserver.database.windows.net,ray-cdc-db,AutoResolveIntegrationRuntime,azure-test-pm,0,0
rayzhu-sf,AzureSqlDatabase4,AzureSqlDatabase,ray-cdc-sqlserver.database.windows.net,ray-cdc-db,AutoResolveIntegrationRuntime,azure-test-pm,0,0
ronguerreroadf,AzureSqlDatabase1,AzureSqlDatabase,ronguerrero.database.windows.net,rgdemo,AutoResolveIntegrationRuntime,field-eng,1,0
jok-adf,AzureSqlDatabase1,AzureSqlDatabase,jokdbdw.database.windows.net,jokdb1,AutoResolveIntegrationRuntime,field-eng,3,0
jok-adf,AzureSynapseAnalytics1,AzureSqlDW,jokdbdw.database.windows.net,jokdw1,AutoResolveIntegrationRuntime,field-eng,1,0
jok-adf,CosmosDb1,CosmosDb,,jokscratchdb,AutoResolveIntegrationRuntime,field-eng,0,0
jok-adf,SynapseScratchDB,AzureSqlDW,jokdbdw.database.windows.net,jokdw1,AutoResolveIntegrationRuntime,field-eng,1,0
jok-adf,SynapseJOKDW1,AzureSqlDW,jokdbdw.database.windows.net,jokdw1,AutoResolveIntegrationRuntime,field-eng,1,0
peteradfcuj,AmazonRdsForSqlServer1,AmazonRdsForSqlServer,sqlserver-cuj-sqlserver.cmeifwaki1jl.us-west-2.rds.amazonaws.com,testdb,peterintegrationruntime,azure-test-pm,0,0
apj-adf,AzureSynapseAnalytics1,AzureSqlDW,tau-synapse-source.sql.azuresynapse.net,tau_dedicated_synapse_pool,AutoResolveIntegrationRuntime,field-eng,0,0
peteh-adf,AzureSqlDatabase1,AzureSqlDatabase,petehhdisql.database.windows.net,hive,AutoResolveIntegrationRuntime,field-eng,1,0
ameya-data-factory,ameyaSqlServer,SqlServer,oneenvsql.database.windows.net,ameyasqldb,AutoResolveIntegrationRuntime,field-eng,0,0
mido-adf,AzureSqlDatabase1,AzureSqlDatabase,oneenvsql.database.windows.net,adventureworks,AutoResolveIntegrationRuntime,field-eng,0,0
pmt-adf-west-us,PmtAzureSqlDatabaseWestUs,AzureSqlDatabase,pmt-azure-sql-server-west-us.database.windows.net,pmt-azure-sql-database-west-us,AutoResolveIntegrationRuntime,azure-test-pm,0,0
test-sandesh,ls_azsql_database,AzureSqlDatabase,testsandeshazsql.database.windows.net,testsandesh-azsql,AutoResolveIntegrationRuntime,field-eng,0,0
adf-demo-snehil,MySql1,MySql,@{linkedService().Connection_String},test,AutoResolveIntegrationRuntime,field-eng,0,0
adf-demo-snehil,AzureSqlDatabase1,AzureSqlDatabase,bk-sqlserver.database.windows.net,bk-demo-sqldb,AutoResolveIntegrationRuntime,field-eng,0,0
ADFLLMCOLLABRSA,linkedServiceSQLServer,AzureSqlDatabase,rsacollab.database.windows.net,rsacollab-llmmigration,AutoResolveIntegrationRuntime,field-eng,0,0
